Numéro de mesure,Longitude,Latitude,Position,Insee,Adresse,Complément,Code postal,Commune,Date de mesure,Mesure réalisée,Rapport,Conformité de la mesure,Niveau global,Type d'environnement,Laboratoire
23070,3.23083,43.35111,"03° 13' 51.00'' Est, 43° 21' 04.00'' Nord",34032,2 Avenue Ferdinand de Lesseps,"Clinique La Pergola, 3ème étage, dans l'infirmerie",34500,BEZIERS,5/5/2011,En intérieur,FicheMesure23070.pdf,Oui,0.47,Lieu d'habitation,AEXPERTISE
23166,3.87667,43.55750,"03° 52' 36.00'' Est, 43° 33' 27.00'' Nord",34129,Avenue Montpellieret,Dernier étage de l'établissement bureau 4237 face à la fenêtre,34970,LATTES,7/5/2011,En intérieur,FicheMesure23166.pdf,Oui,0.00,Lieu d'habitation,BUREAU VERITAS - Rueil-Malmaison
23330,3.88278,43.60833,"03° 52' 58.00'' Est, 43° 36' 30.00'' Nord",34172,21 Rue Baudin,"Au 1er étage, chez M. LÉVY, dans la chambre ",34000,MONTPELLIER,7/6/2011,En intérieur,FicheMesure23330.pdf,Oui,0.00,Lieu d'habitation,AEXPERTISE
23414,3.72917,43.42639,"03° 43' 45.00'' Est, 43° 25' 35.00'' Nord",34108,Avenue du Stade,"Ecole Elémentaire Les Lavandins, 1er étage, dans la classe 3",34110,FRONTIGNAN,1/7/2011,En intérieur,FicheMesure23414.pdf,Oui,1.07,Lieu d'habitation,AEXPERTISE
23492,3.59333,43.43472,"03° 35' 36.00'' Est, 43° 26' 05.00'' Nord",34157,755 Chemin du Romany,"Chez M. et Mme MOLINIER, au rez-de-chaussée, dans le salon",34140,MEZE,30/6/2011,En intérieur,FicheMesure23492.pdf,Oui,0.22,Lieu d'habitation,AEXPERTISE
23736,3.26111,43.34167,"03° 15' 40.00'' Est, 43° 20' 30.00'' Nord",34032,ZAC de Montimaran,"Galerie marchande Géant Casino, Club Bouygues Telecom, rez-de-chaussée, devant le poste 2",34500,BEZIERS,9/8/2011,En intérieur,FicheMesure23736.pdf,Oui,5.91,Lieu d'habitation,AEXPERTISE
23785,3.67444,43.41056,"03° 40' 28.00'' Est, 43° 24' 38.00'' Nord",34301,4 Rue des Écoles,"École élémentaire Ferdinand Buisson, 1er étage, dans le couloir, au nord-est de la classe 4",34200,SETE,10/8/2011,En intérieur,FicheMesure23785.pdf,Oui,0.83,Lieu d'habitation,AEXPERTISE
24013,3.82056,43.63528,"03° 49' 14.00'' Est, 43° 38' 07.00'' Nord",34172,42 Rue Pierre d'Auvergne,"Chez M. PETIT, 1er étage, dans la chambre",34000,MONTPELLIER,19/9/2011,En intérieur,FicheMesure24013.pdf,Oui,0.96,Lieu d'habitation,AEXPERTISE
24558,4.01417,43.61583,"04° 00' 51.00'' Est, 43° 36' 57.00'' Nord",34154,Enclos Georges Sand ,Devant le n°56,34130,MAUGUIO,30/11/2011,En intérieur,FicheMesure24558.pdf,Oui,2.37,Lieu d'habitation,AEXPERTISE
25189,3.69556,43.40139,"03° 41' 44.00'' Est, 43° 24' 05.00'' Nord",34301,7 Rue Paul Valery,"Hôtel de Ville de Sète, 2ème étage, dans le bureau 221",34200,SETE,1/3/2012,En intérieur,FicheMesure25189.pdf,Oui,3.49,Lieu d'habitation,AEXPERTISE
